Fecha;Último;puntos;calificacion
17-11-2023;36411,0;63;Greed
16-11-2023;36161,2;70;Greed
15-11-2023;37874,9;60;Greed
14-11-2023;35549,3;69;Greed
13-11-2023;36478,3;72;Greed
12-11-2023;37064,4;73;Greed
11-11-2023;37150,5;70;Greed
10-11-2023;37303,0;70;Greed
09-11-2023;36700,5;69;Greed
08-11-2023;35636,9;66;Greed
07-11-2023;35426,1;68;Greed
06-11-2023;35042,0;74;Greed
05-11-2023;35019,4;70;Greed
04-11-2023;35065,8;68;Greed
03-11-2023;34718,7;65;Greed
02-11-2023;34931,4;72;Greed
01-11-2023;35423,8;66;Greed
31-10-2023;34650,6;66;Greed
30-10-2023;34477,9;68;Greed
29-10-2023;34526,7;72;Greed
28-10-2023;34082,6;65;Greed
27-10-2023;33901,8;70;Greed
26-10-2023;34153,7;71;Greed
25-10-2023;34496,8;72;Greed
24-10-2023;33917,0;66;Greed
23-10-2023;33041,8;53;Neutral
22-10-2023;29984,2;53;Neutral
21-10-2023;29912,9;63;Greed
20-10-2023;29674,5;53;Neutral
19-10-2023;28723,0;52;Neutral
18-10-2023;28321,7;50;Neutral
17-10-2023;28403,6;52;Neutral
16-10-2023;28509,7;47;Neutral
15-10-2023;27161,2;45;Fear
14-10-2023;26852,8;47;Neutral
13-10-2023;26863,5;44;Fear
12-10-2023;26761,1;45;Fear
11-10-2023;26876,6;47;Neutral
10-10-2023;27391,0;50;Neutral
09-10-2023;27581,4;50;Neutral
08-10-2023;27922,7;50;Neutral
07-10-2023;27961,1;49;Neutral
06-10-2023;27936,9;50;Neutral
05-10-2023;27410,3;48;Neutral
04-10-2023;27790,9;49;Neutral
03-10-2023;27428,4;50;Neutral
02-10-2023;27505,3;50;Neutral
01-10-2023;27974,5;48;Neutral
30-09-2023;26962,7;47;Neutral
29-09-2023;26909,8;48;Neutral
28-09-2023;27022,6;46;Fear
27-09-2023;26366,1;44;Fear
26-09-2023;26218,9;46;Fear
25-09-2023;26302,7;47;Neutral
24-09-2023;26251,5;44;Fear
23-09-2023;26579,2;47;Neutral
22-09-2023;26581,9;43;Fear
21-09-2023;26570,0;47;Neutral
20-09-2023;27125,0;47;Neutral
19-09-2023;27209,2;46;Fear
18-09-2023;26763,5;46;Fear
17-09-2023;26529,1;46;Fear
16-09-2023;26562,0;43;Fear
15-09-2023;26601,0;45;Fear
14-09-2023;26524,7;45;Fear
13-09-2023;26223,0;41;Fear
12-09-2023;25834,5;30;Fear
11-09-2023;25166,4;40;Fear
10-09-2023;25840,2;40;Fear
09-09-2023;25901,1;41;Fear
08-09-2023;25909,5;46;Fear
07-09-2023;26249,8;41;Fear
06-09-2023;25758,0;42;Fear
05-09-2023;25790,2;40;Fear
04-09-2023;25823,3;40;Fear
03-09-2023;25971,0;40;Fear
02-09-2023;25869,7;39;Fear
