Y (compra/vende),X1=precio,X2=puntos
1,9181.1,30
0,8893.2,15
1,9241.1,40
1,8222.2,24
1,6938.5,11
0,7701.2,8
0,7594.7,36
0,8164.2,30
0,8699.8,44
0,8559.6,54
0,8081.9,31
0,8903.5,42
0,8539.2,35
0,9476.3,55
0,10037.3,71
0,10178.7,67
0,11073.5,74
0,10398.8,63
0,11169.4,67
0,11238.7,74
0,10473,54
0,9841.7,44
0,10170.4,39
0,9704.3,31
0,9585.2,33
0,10285.1,37
0,10594.4,44
0,10333.9,41
0,10904.5,38
0,10827.7,47
0,11402.3,56
0,11416.5,44
0,11330.6,55
0,10675.1,59
0,9902.9,37
0,9300,39
0,9217,37
0,8762,39
0,9529.6,40
0,9137.4,41
0,9154.9,41
0,8210.6,40
0,8264.4,32
0,8289.2,33
0,7874.9,31
0,8201.2,29
0,8616.8,29
0,8912.6,37
0,8905.9,36
0,8726.2,36
0,8916.8,28
0,8547.4,32
0,8473.2,30
1,8143.5,31
1,7801.7,24
1,7954.9,24
1,7129.2,18
1,6853.7,12
1,6938.2,16
1,6825.2,16
1,7068.4,11
1,7424.2,22
1,6808.9,22
1,6782,17
1,6624.3,19
1,6905.7,20
1,7030.5,17
1,6781.9,21
1,6854.8,18
1,6962.1,20
1,7926.6,18
0,7887.4,23
1,7908.6,26
1,8178.4,24
0,8290.8,25
0,8867,26
0,8923.1,32
0,8806.7,31
0,8952.8,28
0,9645.3,29
0,8873.1,64
0,9287,47
0,8940.9,55
0,9352.4,54
0,9415.1,61
0,9245.1,59
0,9074.9,56
0,9243.2,52
0,9749.7,55
0,9708.6,56
0,9853.5,63
0,9656.4,67
0,9431.6,56
0,9196.4,62
0,9319.1,53
0,9025.7,63
0,8408.3,41
0,8459.5,44
0,8693.5,40
0,8674.1,40
0,8477,40
0,8344.4,32
0,8063,31
0,8245.7,37
0,8245.1,31
0,8529,32
0,8403.3,41
0,8006,30
0,7512.3,26
1,7592.9,27
1,7477.7,25
1,7361.3,23
1,7366.7,19
1,7119.3,22
0,7467.7,16
1,7400.1,38
1,7502.6,25
0,7530.8,24
0,7646.6,27
0,7729.3,40
0,7504.3,41
0,7631.5,26
0,7661,42
0,7697.8,38
0,7622.1,40
1,7515.8,39
1,6775.1,24
1,6885.9,15
1,6558.2,19
1,6312.3,19
0,6647.1,17
1,6410.3,26
1,6505.8,22
0,6460.3,23
0,6719.8,27
0,6752.4,32
0,6765.4,34
0,6728,37
1,6055.7,28
1,6167.3,17
1,6154.6,15
1,6256.6,16
